Coin,classification,Total PnL,Average PnL,Number of Trades
ILV,Greed,541.47,19.34,28
ILV,Neutral,-0.04,-0.04,1
IMX,Extreme Greed,70.23,3.34,21
IMX,Greed,465.67,46.57,10
IMX,Neutral,4.31,4.31,1
INIT,Greed,364.5,24.3,15
INJ,Extreme Greed,2901.16,35.82,81
INJ,Greed,3018.62,131.24,23
IO,Extreme Fear,0.07,0.07,1
IO,Extreme Greed,-188.25,-6.97,27
IO,Greed,-21747.85,-233.85,93
IO,Neutral,42.11,4.68,9
IOTA,Greed,-2.45,-0.82,3
IP,Extreme Fear,311.53,28.32,11
IP,Fear,1774.52,10.08,176
IP,Neutral,957.23,11.97,80
JELLY,Extreme Fear,3218.98,40.24,80
JELLY,Extreme Greed,5384.22,78.03,69
JELLY,Fear,12382.99,29.0,427
JELLY,Greed,10668.04,91.18,117
